,Year,Name,Salary%,Physical Cluster,Reg Performance Cluster,Adv Performance Cluster,PER Cluster
0,2010,Aaron Brooks,3.495133448873484,0,3,2,1
1,2010,Acie Law,1.0974922010398611,0,1,0,3
2,2010,Al Harrington,9.991334488734834,1,0,2,1
3,2010,Al Horford,9.436493934142117,1,0,0,1
4,2010,Al Jefferson,22.53032928942807,1,3,0,1
5,2010,Al Thornton,0.3658301559792028,1,2,0,3
6,2010,Alonzo Gee,1.1111629116117852,0,1,0,1
7,2010,Amar'e Stoudemire,28.57298266897747,1,3,0,2
8,2010,Anderson Varejao,12.620135181975733,1,2,0,1
9,2010,Andray Blatche,10.232499133448872,1,0,0,1
10,2010,Andre Iguodala,21.395580589254767,0,0,1,1
11,2010,Andre Miller,12.598377816291164,0,0,3,1
12,2010,Andrea Bargnani,14.731369150779894,1,0,2,1
13,2010,Andrei Kirilenko,30.889081455805893,1,2,3,1
14,2010,Andres Nocioni,11.871750433275563,1,2,1,3
15,2010,Andrew Bogut,19.064124783362214,1,0,0,2
16,2010,Andrew Bynum,23.743500866551127,1,0,0,2
17,2010,Antawn Jamison,23.15234835355286,1,3,3,1
18,2010,Anthony Parker,4.9493396880415945,0,1,1,0
19,2010,Anthony Randolph,3.406793760831889,1,0,0,1
20,2010,Anthony Tolliver,3.812824956672444,1,2,3,3
21,2010,Antoine Wright,1.4807435008665513,0,1,3,0
22,2010,Antonio McDyess,8.422876949740035,1,2,0,3
23,2010,Arron Afflalo,3.3961473136915075,0,2,1,0
24,2010,Austin Daye,3.1260311958405547,0,1,3,3
25,2010,Baron Davis,24.263431542461014,0,0,1,1
26,2010,Ben Gordon,18.717504332755638,0,0,1,3
27,2010,Ben Wallace,3.604852686308492,1,1,0,1
28,2010,Beno Udrih,11.228076256499138,0,0,1,1
29,2010,Boris Diaw,15.59792027729636,1,2,1,3
30,2010,Brad Miller,7.625649913344888,1,2,3,3
31,2010,Brandon Jennings,4.040069324090122,0,0,2,3
32,2010,Brandon Roy,23.576689774696714,0,3,1,2
33,2010,Brandon Rush,3.5858578856152517,0,2,1,0
34,2010,Brendan Haywood,11.95840554592721,1,2,0,1
35,2010,Brian Cook,1.9867192374350091,1,1,0,0
36,2010,Brook Lopez,4.182530329289428,1,3,0,2
37,2010,C.J. Watson,6.239168110918545,0,2,3,3
38,2010,Carlos Arroyo,0.3397001733102253,0,1,0,3
39,2010,Carmelo Anthony,29.721391681109186,1,3,1,2
40,2010,Caron Butler,18.304956672443677,1,0,3,3
41,2010,Channing Frye,9.01213171577123,1,2,2,3
42,2010,Charlie Bell,7.708478336221838,0,1,1,0
43,2010,Charlie Villanueva,12.166377816291163,1,2,1,1
44,2010,Chase Budinger,1.3533292894280762,1,2,1,3
45,2010,Chauncey Billups,22.790294627383016,0,0,2,2
46,2010,Chris Andersen,7.856672443674178,1,1,0,1
47,2010,Chris Bosh,25.12998266897747,1,3,0,2
48,2010,Chris Duhon,6.065857885615253,0,2,1,0
49,2010,Chris Kaman,20.450606585788556,1,3,0,1
50,2010,Chris Paul,25.892812824956675,0,3,3,2
51,2010,Chris Quinn,1.3936412478336222,0,1,0,0
52,2010,Corey Brewer,6.715771230502599,0,0,1,3
53,2010,Corey Maggette,16.63778162911612,1,3,0,2
54,2010,Courtney Lee,2.344263431542461,0,0,1,3
55,2010,Craig Smith,3.986135181975736,1,2,0,1
56,2010,D.J. Augustin,4.40207972270364,0,1,3,3
57,2010,Daequan Cook,3.7605840554592724,0,1,3,0
58,2010,Dahntay Jones,4.332755632582321,0,2,0,0
59,2010,Damien Wilkins,0.8361837088388215,1,1,0,3
60,2010,Daniel Gibson,6.9589844020797225,0,1,3,3
61,2010,Danilo Gallinari,5.727140381282497,1,0,2,3
62,2010,Danny Granger,19.017681109185446,1,3,2,1
63,2010,Danny Green,0.2253414211438475,0,1,0,3
64,2010,Dante Cunningham,1.3209618717504332,1,1,0,3
65,2010,Darius Songaila,8.350086655112651,1,2,0,3
66,2010,Darko Milicic,7.495667244367418,1,2,0,3
67,2010,Darrell Arthur,1.9474523396880412,1,1,0,0
68,2010,Darren Collison,2.3588214904679377,0,0,3,1
69,2010,David Andersen,4.332755632582321,1,1,3,3
70,2010,David Lee,18.717504332755638,1,3,0,2
71,2010,David West,14.363084922010401,1,3,0,1
72,2010,DeJuan Blair,1.5909878682842291,1,2,0,1
73,2010,DeMar DeRozan,4.252824956672444,1,2,0,3
74,2010,DeMarre Carroll,1.8811091854419413,0,1,0,0
75,2010,DeShawn Stevenson,7.195469670710572,0,1,0,0
76,2010,Derek Fisher,6.412478336221838,0,2,1,0
77,2010,Deron Williams,25.892812824956675,0,3,1,2
78,2010,Derrick Brown,1.3209618717504332,1,1,0,3
79,2010,Derrick Rose,9.612062391681107,0,3,0,1
80,2010,Devin Harris,15.564991334488735,0,0,1,1
81,2010,Dirk Nowitzki,29.945611785095323,1,3,3,2
82,2010,Donte Greene,1.6129982668977467,1,2,3,3
83,2010,Dorell Wright,6.135181975736568,0,1,3,3
84,2010,Drew Gooden,9.991334488734834,1,2,0,1
85,2010,Dwight Howard,28.85126516464471,1,0,0,2
86,2010,Dwyane Wade,24.610051993067593,0,3,1,2
87,2010,Earl Clark,3.290745233968804,1,1,0,0
88,2010,Eddie House,2.343467937608319,0,1,3,0
89,2010,Eduardo Najera,5.1993067590987865,1,1,0,0
90,2010,Elton Brand,27.658750433275568,1,0,0,1
91,2010,Eric Gordon,5.228214904679376,0,0,1,3
92,2010,Eric Maynor,2.457192374350087,0,1,0,3
93,2010,Erick Dampier,1.2368561525129984,1,1,0,3
94,2010,Ersan Ilyasova,4.021663778162911,1,2,1,1
95,2010,Francisco Garcia,9.532062391681107,0,2,0,3
96,2010,Garrett Temple,0.13986655112651647,0,1,0,3
97,2010,Gerald Henderson,3.6461698440207977,0,1,0,0
98,2010,Gerald Wallace,18.19757365684575,1,0,3,1
99,2010,Gilbert Arenas,30.72910571923744,0,3,3,1
100,2010,Glen Davis,5.199313691507799,1,1,0,3
101,2010,Goran Dragic,3.4176776429809363,0,2,1,3
102,2010,Grant Hill,5.6152512998266895,1,2,3,3
103,2010,Hakim Warrick,7.365684575389947,1,2,0,1
104,2010,Hamed Haddadi,2.772963604852686,1,1,0,0
105,2010,Hedo Turkoglu,17.705112651646445,1,2,1,3
106,2010,Ime Udoka,1.2281455805892547,0,1,3,0
107,2010,J.J. Barea,3.1455805892547657,0,2,3,3
108,2010,JaVale McGee,2.7747660311958398,1,1,0,1
109,2010,Jamal Crawford,18.717504332755638,0,0,2,1
110,2010,Jamario Moon,5.1993067590987865,0,1,3,3
111,2010,Jameer Nelson,13.518197573656845,0,0,1,1
112,2010,James Harden,7.4601733102253025,0,2,1,3
113,2010,James Johnson,2.969844020797227,1,1,0,0
114,2010,James Jones,1.9867192374350091,1,1,3,0
115,2010,James Posey,12.389601386481802,1,1,1,0
116,2010,Jared Dudley,3.728020797227036,1,2,1,3
117,2010,Jared Jeffries,0.38325129982668976,1,1,0,0
118,2010,Jarrett Jack,7.972270363951472,0,2,1,1
119,2010,Jason Kapono,11.510294627383015,1,1,3,0
120,2010,Jason Kidd,14.922876949740035,0,2,2,1
121,2010,Jason Maxiell,8.665511265164643,1,2,0,3
122,2010,Jason Richardson,25.03369670710572,1,0,2,1
123,2010,Jason Smith,3.791876949740035,1,1,0,0
124,2010,Jason Terry,17.110918544194107,0,0,2,1
125,2010,Jason Thompson,3.77469670710572,1,0,0,3
126,2010,Jason Williams,0.9098162911611783,0,1,1,3
127,2010,Jawad Williams,1.7840363951473135,1,1,3,0
128,2010,Jeff Foster,11.53379549393414,1,1,0,0
129,2010,Jeff Green,7.722682842287695,1,0,1,3
130,2010,Jeff Teague,2.559514731369151,0,1,0,3
131,2010,Jermaine Taylor,1.3533292894280762,0,1,0,3
132,2010,Jerryd Bayless,3.9733102253032926,0,2,3,3
133,2010,Jodie Meeks,1.3209618717504332,0,1,3,3
134,2010,Joe Johnson,28.29202772963605,1,3,2,1
135,2010,Joey Graham,1.720415944540728,1,1,0,0
136,2010,Johan Petro,5.632582322357018,1,1,0,0
137,2010,John Salmons,13.864818024263432,0,0,1,3
138,2010,Jonny Flynn,5.5320623916811105,0,0,1,3
139,2010,Jordan Farmar,6.4991334488734855,0,1,1,3
140,2010,Jordan Hill,4.626551126516464,1,1,0,3
141,2010,Jose Calderon,15.59792027729636,0,2,3,1
142,2010,Josh McRoberts,1.534003466204506,1,1,0,3
143,2010,Josh Smith,20.27729636048527,1,0,0,2
144,2010,Jrue Holiday,2.821351819757365,0,2,3,3
145,2010,Julian Wright,4.953305025996533,1,1,0,3
146,2010,Keith Bogans,2.772963604852686,0,1,1,0
147,2010,Kendrick Perkins,11.606100519930674,1,2,0,3
148,2010,Kenyon Martin,28.674963604852692,1,0,0,3
149,2010,Kevin Durant,10.49161698440208,1,3,2,2
150,2010,Kevin Garnett,32.63785788561525,1,0,0,1
151,2010,Kevin Love,6.305511265164643,1,0,3,2
152,2010,Kevin Martin,18.370892547660308,0,3,3,1
153,2010,Keyon Dooling,3.604852686308492,0,1,3,3
154,2010,Kirk Hinrich,15.771230502599654,0,2,1,3
155,2010,Kobe Bryant,42.991767764298096,0,3,1,2
156,2010,Kris Humphries,5.545927209705372,1,2,0,1
157,2010,Kyle Korver,8.665511265164643,0,1,3,3
158,2010,Kyle Lowry,9.965337954939342,0,2,3,1
159,2010,Kyle Weaver,1.4807435008665513,0,1,0,0
160,2010,Kyrylo Fesenko,1.8847487001733103,1,1,0,0
161,2010,LaMarcus Aldridge,19.487001733102254,1,3,0,1
162,2010,Lamar Odom,14.211438474870016,1,2,3,1
163,2010,LeBron James,25.12998266897747,1,3,2,2
164,2010,Leandro Barbosa,12.305025996533795,0,2,3,3
165,2010,Lester Hudson,0.8935927209705372,0,1,0,3
166,2010,Lou Amundson,3.856152512998267,1,1,0,3
167,2010,Luis Scola,13.475525129982667,1,0,0,1
168,2010,Luke Ridnour,6.932409012131716,0,2,3,1
169,2010,Luke Walton,9.116117850953207,1,1,0,0
170,2010,Luol Deng,19.662045060658574,1,3,3,1
171,2010,Manu Ginobili,20.545206239168113,0,0,2,2
172,2010,Marc Gasol,6.192951473136915,1,0,0,1
173,2010,Marcin Gortat,10.95722703639515,1,1,0,3
174,2010,Marco Belinelli,4.12525129982669,0,1,3,3
175,2010,Marcus Banks,8.401362218370883,0,1,0,1
176,2010,Marcus Camby,20.363660311958405,1,2,0,1
177,2010,Mario Chalmers,1.4807435008665513,0,1,1,0
178,2010,Mario West,0.034840554592720965,0,1,0,0
179,2010,Marquis Daniels,4.138648180242634,0,1,0,0
180,2010,Marreese Speights,3.074454072790295,1,2,0,1
181,2010,Martell Webster,8.31889081455806,1,2,2,3
182,2010,Marvin Williams,12.586655112651643,1,2,3,3
183,2010,Matt Barnes,3.0589254766031195,1,2,1,3
184,2010,Matt Bonner,5.285961871750433,1,1,1,3
185,2010,Matt Carroll,7.452339688041594,0,1,0,0
186,2010,Maurice Evans,4.332755632582321,0,1,3,3
187,2010,Mehmet Okur,17.23570190641248,1,0,1,1
188,2010,Michael Beasley,8.600069324090121,1,0,3,1
189,2010,Michael Redd,31.7157712305026,0,0,0,3
190,2010,Mickael Pietrus,9.185441941074524,0,2,1,3
191,2010,Mike Bibby,0.3745407279029463,0,2,2,3
192,2010,Mike Conley,8.514864818024263,0,0,1,3
193,2010,Mike Dunleavy,18.304998266897744,1,2,1,3
194,2010,Mo Williams,16.11785095320624,0,0,2,1
195,2010,Monta Ellis,19.064124783362214,0,3,1,1
196,2010,Morris Peterson,11.551126516464471,1,1,3,0
197,2010,Nate Robinson,7.2790294627383005,0,2,3,1
198,2010,Nenad Krstic,9.606786828422877,1,2,0,3
199,2010,Nick Collison,22.99826689774697,1,1,0,3
200,2010,Nick Young,4.558930675909878,0,2,3,0
201,2010,Nicolas Batum,2.074107452339688,0,2,3,1
202,2010,O.J. Mayo,7.723050259965338,0,0,2,3
203,2010,Omri Casspi,2.1741421143847486,1,2,1,3
204,2010,Patty Mills,1.6242547660311957,0,1,0,3
205,2010,Pau Gasol,30.889081455805893,1,3,0,2
206,2010,Paul Millsap,13.17157712305026,1,2,0,1
207,2010,Paul Pierce,24.049083188908142,1,0,1,1
208,2010,Peja Stojakovic,0.6968197573656846,1,2,2,3
209,2010,Quentin Richardson,3.925476603119584,1,2,2,3
210,2010,Quinton Ross,1.790887348353553,0,1,0,0
211,2010,Raja Bell,5.1993067590987865,0,2,0,3
212,2010,Rajon Rondo,15.755478336221836,0,0,3,1
213,2010,Ramon Sessions,6.8705719237435,0,2,0,3
214,2010,Randy Foye,7.365684575389947,0,2,3,3
215,2010,Rashard Lewis,33.92324263431543,1,0,2,3
216,2010,Rasual Butler,0.3658301559792028,0,2,2,0
217,2010,Ray Allen,17.33102253032929,0,0,2,1
218,2010,Raymond Felton,12.131715771230507,0,0,3,1
219,2010,Renaldo Balkman,2.9029462738301564,0,1,0,0
220,2010,Richard Hamilton,21.663778162911612,0,3,3,3
221,2010,Richard Jefferson,14.558058925476606,1,2,1,3
