Year,Team,Notes,Name,Injury Class
2010,Bulls,fractured bone in right pinky finger (out indefinitely),Carlos Boozer,out indefinitely
2010,Pistons,torn right Acchilles tendon (out indefinitely),Jonas Jerebko,out indefinitely
2010,Pistons,broken fifth metatarsal in right foot (out indefinitely),Terrico White,out indefinitely
2010,Blazers,torn ACL in right knee (out indefinitely),Jeff Pendergraph,out indefinitely
2010,Nets,strained lower back (out indefinitely),Troy Murphy,out indefinitely
2010,Pistons,surgery to repair torn right Achilles tendon,Jonas Jerebko,Other
2010,Pistons,surgery on right foot to repair broken fifth metatarsal,Terrico White,Other
2010,Nuggets,partially torn plantar fascia in left foot (out indefinitely),Al Harrington,out indefinitely
2010,Bucks,surgery on left hip (out for season),Darington Hobson,out for season
2010,Kings,strained left groin (out indefinitely),Samuel Dalembert,out indefinitely
2010,Bobcats,stress fracture in left shin (out indefinitely),Dominic McGuire,out indefinitely
2010,Warriors,surgery to repair fractured right index finger (out indefinitely),Louis Amundson,out indefinitely
2010,Suns,fractured right index finger (out indefinitely),Josh Childress,out indefinitely
2010,Heat,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),Mike Miller,out indefinitely
2010,Thunder,left knee injury (out indefinitely),Nick Collison,out indefinitely
2010,Timberwolves,surgery on back (out indefinitely),Martell Webster,out indefinitely
2010,Heat,sprained ankle (out indefinitely),Mario Chalmers,out indefinitely
2010,Bucks,sprained left ankle (DNP),Jon Brockman,DNP
2010,Bucks,sprained right ankle (DNP),Luc Moute,DNP
2010,Grizzlies,back injury (DTD),Zach Randolph,DTD
2010,Hawks,right knee inflammation (DTD),Maurice Evans,DTD
2010,Spurs,sprained right ankle (DTD),Matt Bonner,DTD
2010,Heat,returned to lineup,Mario Chalmers,returned to lineup
2010,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010,Pistons,sore right foot (DNP),Richard Hamilton,DNP
2010,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010,Hawks,turf toe (DNP),Jamal Crawford,DNP
2010,Jazz,sprained right wrist (DNP),Jeremy Evans,DNP
2010,Jazz,stomach illness (DNP),Kyrylo Fesenko,DNP
2010,Nuggets,strained left groin (DNP),Nene,DNP
2010,Pistons,sore right foot (DNP),Richard Hamilton,DNP
2010,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010,Warriors,stomach virus (DTD),Brandan Wright,DTD
2010,Blazers,"dislocated patella in right knee (surgery, out for season)",Elliot Williams,Other
2010,Bucks,migraine headache (DNP),Andrew Bogut,DNP
2010,Hawks,bone bruise in right knee (DNP),Marvin Williams,DNP
2010,Jazz,sprained right ankle (DNP),Jeremy Evans,DNP
2010,Nuggets,strained left groin (DNP),Nene,DNP
2010,Blazers,back injury (DNP),Rudy Fernandez,DNP
2010,Nuggets,strained left groin (DNP),Nene,DNP
2010,Raptors,ankle injury (DTD),Sonny Weems,DTD
2010,Hawks,bone bruise in right knee (DNP),Marvin Williams,DNP
2010,Hawks,bone bruise in right knee (DNP),Marvin Williams,DNP
2010,Magic,DNP,Mickael Pietrus,Other
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Clippers,sprained left ankle (DNP),Chris Kaman,DNP
2010,Hawks,bone bruise in right knee (DNP),Marvin Williams,DNP
2010,Raptors,flu (DTD),David Andersen,DTD
2010,Timberwolves,thigh injury (DTD),Wayne Ellington,DTD
2010,Clippers,sore left shoulder (DNP),Eric Gordon,DNP
2010,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2010,Rockets,sprained left ankle (DTD),Yao Ming,DTD
2010,Spurs,stress fracture in right foot (out indefinitely),James Anderson,out indefinitely
2010,Warriors,placed on IL with infection in left elbow,David Lee,Other
2010,Warriors,surgery on left elbow to repair infection,David Lee,Other
2010,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Celtics,sore left knee (DNP),Jermaine O'Neal,DNP
2010,Raptors,flu-like symptoms (DNP),Reggie Evans,DNP
2010,Rockets,sprained left ankle (DNP),Chase Budinger,DNP
2010,Timberwolves,sprained left ankle (DNP),Nikola Pekovic,DNP
2010,Timberwolves,bruised left thigh (DNP),Wayne Ellington,DNP
2010,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010,Jazz,strained left abductor (DNP),Raja Bell,DNP
2010,Timberwolves,left foot injury (DNP),Nikola Pekovic,DNP
2010,Timberwolves,bruised left thigh (DNP),Wayne Ellington,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010,Jazz,dizziness (DNP),Kyrylo Fesenko,DNP
2010,Rockets,sprained left ankle (DNP),Chase Budinger,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Magic,foot injury (DTD),Jason Williams,DTD
2010,Blazers,mircofracture surgery on left knee (out for season),Greg Oden,out for season
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Heat,broken nose (DNP),Juwan Howard,DNP
2010,Knicks,left calf injury (DNP),Timofey Mozgov,DNP
2010,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010,Blazers,sore left knee (DNP),Brandon Roy,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Suns,strained groin (DNP),Steve Nash,DNP
2010,Wizards,sprained left foot (DNP),John Wall,DNP
2010,Hornets,DNP,Marcus Thornton,Other
2010,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010,Heat,surgery on left foot to repair torn ligament (out for season),Udonis Haslem,out for season
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Bulls,right ankle/foot injury (DNP),Taj Gibson,DNP
2010,Celtics,broken right wrist (out indefinitely),Delonte West,out indefinitely
2010,Magic,returned to lineup,Jason Williams,returned to lineup
2010,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,strained neck (DNP),Carlos Delfino,DNP
2010,Raptors,broken right foot (out indefinitely),Reggie Evans,out indefinitely
2010,Warriors,strained lower back (DNP),Brandan Wright,DNP
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,sore left ankle (DNP),Corey Maggette,DNP
2010,Bucks,plantar fasciitis in left foot (DNP),Drew Gooden,DNP
2010,Wizards,bruised right knee (P) / sore left knee (CBC) (DNP),John Wall,DNP
2010,Blazers,sprained right ankle (DNP),Sean Marks,DNP
2010,Clippers,strained left hamstring (DNP),Randy Foye,DNP
2010,Knicks,bruised right quadriceps (DNP),Toney Douglas,DNP
2010,Lakers,gastroenteritis (DNP),Devin Ebanks,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
2010,Raptors,broken right foot (DNP),Reggie Evans,DNP
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Bucks,illness (DNP),Corey Maggette,DNP
2010,Bucks,left foot injury (DNP),Drew Gooden,DNP
2010,Wizards,bruised right knee (P) (DNP),John Wall,DNP
2010,Celtics,surgery to repair broken right wrist,Delonte West,Other
2010,Knicks,returned to lineup,Toney Douglas,returned to lineup
2010,Bucks,sore back (DNP),Andrew Bogut,DNP
2010,Raptors,swollen left knee (DNP),Predrag Stojakovic,DNP
