Date,Team,Notes,Player,Injury Class
2010-10-03,Bulls,fractured bone in right pinky finger (out indefinitely),Carlos Boozer,out indefinitely
2010-10-06,Pistons,torn right Acchilles tendon (out indefinitely),Jonas Jerebko,out indefinitely
2010-10-06,Pistons,broken fifth metatarsal in right foot (out indefinitely),Terrico White,out indefinitely
2010-10-08,Blazers,torn ACL in right knee (out indefinitely),Jeff Pendergraph,out indefinitely
2010-10-08,Nets,strained lower back (out indefinitely),Troy Murphy,out indefinitely
2010-10-08,Pistons,surgery to repair torn right Achilles tendon,Jonas Jerebko,Other
2010-10-08,Pistons,surgery on right foot to repair broken fifth metatarsal,Terrico White,Other
2010-10-09,Nuggets,partially torn plantar fascia in left foot (out indefinitely),Al Harrington,out indefinitely
2010-10-12,Bucks,surgery on left hip (out for season),Darington Hobson,out for season
2010-10-12,Kings,strained left groin (out indefinitely),Samuel Dalembert,out indefinitely
2010-10-17,Bobcats,stress fracture in left shin (out indefinitely),Dominic McGuire,out indefinitely
2010-10-18,Warriors,surgery to repair fractured right index finger (out indefinitely),Louis Amundson,out indefinitely
2010-10-19,Suns,fractured right index finger (out indefinitely),Josh Childress,out indefinitely
2010-10-22,Heat,surgery on right hand to repair a broken thumb and ligament damage (out indefinitely),Mike Miller,out indefinitely
2010-10-25,Thunder,left knee injury (out indefinitely),Nick Collison,out indefinitely
2010-10-25,Timberwolves,surgery on back (out indefinitely),Martell Webster,out indefinitely
2010-10-26,Heat,sprained ankle (out indefinitely),Mario Chalmers,out indefinitely
2010-10-27,Bucks,sprained left ankle (DNP),Jon Brockman,DNP
2010-10-27,Bucks,sprained right ankle (DNP),Luc Moute,DNP
2010-10-28,Grizzlies,back injury (DTD),Zach Randolph,DTD
2010-10-28,Hawks,right knee inflammation (DTD),Maurice Evans,DTD
2010-10-28,Spurs,sprained right ankle (DTD),Matt Bonner,DTD
2010-10-29,Heat,returned to lineup,Mario Chalmers,returned to lineup
2010-10-29,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010-10-30,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010-11-02,Pistons,sore right foot (DNP),Richard Hamilton,DNP
2010-11-02,Pistons,sore right hamstring (DNP),Will Bynum,DNP
2010-11-03,Hawks,turf toe (DNP),Jamal Crawford,DNP
2010-11-03,Jazz,sprained right wrist (DNP),Jeremy Evans,DNP
2010-11-03,Jazz,stomach illness (DNP),Kyrylo Fesenko,DNP
