Year,Name,Injury_DTD,Injury_DNP,Injury_Out_Indef,Injury_Out_Season,Injury_Returned,Injury_Other
2010,Al Harrington,0,0,0,0,0,0
2010,Anderson Varejao,0,0,0,0,0,0
2010,Andre Iguodala,0,1,0,0,0,0
2010,Andrea Bargnani,0,2,0,0,0,0
2010,Andrew Bogut,0,6,0,0,0,0
2010,Anthony Morrow,0,1,0,0,0,0
2010,Brandan Wright,1,4,1,1,1,1
2010,Brandon Roy,0,9,0,0,0,0
2010,Calvin Miles,0,2,0,0,0,0
2010,Carlos Boozer,0,0,0,0,0,0
2010,Carlos Delfino,0,11,0,0,0,0
2010,Carmelo Anthony,0,2,0,0,0,0
2010,Chase Budinger,0,2,0,0,0,0
2010,Chauncey Billups,0,3,0,0,0,0
2010,Chris Duhon,0,1,0,0,0,0
2010,Chris Kaman,0,1,0,0,0,0
2010,Chuck Hayes,0,0,0,0,0,0
2010,Corey Maggette,0,2,0,0,0,0
2010,Craig Smith,0,0,0,0,0,0
2010,Damion James,0,0,0,0,0,0
2010,Dan Gadzuric,0,2,0,0,0,0
2010,Daniel Orton,0,0,0,0,0,0
2010,Darington Hobson,0,0,0,0,0,0
2010,Darko Milicic,0,1,0,0,0,0
2010,David Andersen,1,0,1,1,1,1
2010,David Lee,0,0,0,0,0,0
2010,David West,0,1,0,0,0,0
2010,Delonte West,0,0,0,0,0,0
2010,Devin Ebanks,0,1,0,0,0,0
2010,Dewayne White,1,0,1,1,1,1
2010,Dominic McGuire,0,0,0,0,0,0
2010,Drew Gooden,0,7,0,0,0,0
2010,Dwight Howard,0,2,0,0,0,0
2010,Elliot Williams,0,0,0,0,0,0
2010,Eric Gordon,0,1,0,0,0,0
2010,George Hill,0,4,0,0,0,0
2010,Greg Oden,0,0,0,0,0,0
2010,Jamal Crawford,0,1,0,0,0,0
2010,Jameer Nelson,0,3,0,0,0,0
2010,James Anderson,0,0,0,0,0,0
2010,Jason Williams,1,4,1,1,1,1
2010,Jeff Pendergraph,0,0,0,0,0,0
2010,Jeremy Evans,0,2,0,0,0,0
2010,Jermaine O'Neal,0,2,0,0,0,0
2010,Jerryd Bayless,0,1,0,0,0,0
2010,Joakim Noah,0,0,0,0,0,0
2010,Joe Johnson,0,0,0,0,0,0
2010,John Salmons,0,1,0,0,0,0
2010,John Wall,0,4,0,0,0,0
2010,John Wallace,0,1,0,0,0,0
2010,Jon Brockman,0,1,0,0,0,0
2010,Jonas Jerebko,0,0,0,0,0,0
2010,Jonathan Redick,0,2,0,0,0,0
2010,Jordan Farmar,0,1,0,0,0,0
2010,Jose Calderon,1,1,1,1,1,1
2010,Josh Childress,0,0,0,0,0,0
2010,Juwan Howard,0,1,0,0,0,0
2010,Kenyon Martin,0,1,0,0,0,0
2010,Kyrylo Fesenko,0,4,0,0,0,0
2010,Louis Amundson,0,0,0,0,0,0
2010,Luc Moute,0,1,0,0,0,0
2010,Malik Allen,0,1,0,0,0,0
2010,Marcus Camby,0,3,0,0,0,0
2010,Marcus Thornton,0,0,0,0,0,0
2010,Mario Chalmers,0,0,0,0,0,0
2010,Martell Webster,0,0,0,0,0,0
2010,Marvin Williams,1,4,1,1,1,1
2010,Matt Bonner,1,0,1,1,1,1
2010,Maurice Evans,1,0,1,1,1,1
2010,Maurice Williams,0,1,0,0,0,0
2010,Mehmet Okur,0,1,0,0,0,0
2010,Michael Beasley,0,1,0,0,0,0
2010,Mickael Pietrus,0,1,0,0,0,0
2010,Mike Miller,0,0,0,0,0,0
2010,Nenad Krstic,1,0,1,1,1,1
2010,Nene,0,4,0,0,0,0
2010,Nick Collison,0,0,0,0,0,0
2010,Nicolas Batum,0,1,0,0,0,0
2010,Nikola Pekovic,0,2,0,0,0,0
2010,Predrag Stojakovic,0,8,0,0,0,0
2010,Quentin Richardson,0,3,0,0,0,0
2010,Quinton Ross,0,3,0,0,0,0
2010,Raja Bell,1,3,1,1,1,1
2010,Rajon Rondo,0,5,0,0,0,0
2010,Randy Foye,0,4,0,0,0,0
2010,Reggie Evans,0,2,0,0,0,0
2010,Richard Hamilton,0,3,0,0,0,0
2010,Rodney Carney,1,0,1,1,1,1
2010,Rodney Stuckey,0,1,0,0,0,0
2010,Rudy Fernandez,0,1,0,0,0,0
2010,Ryan Anderson,0,1,0,0,0,0
2010,Ryan Hollins,1,0,1,1,1,1
2010,Samuel Dalembert,0,0,0,0,0,0
2010,Sean Marks,0,1,0,0,0,0
2010,Semih Erden,1,1,1,1,1,1
2010,Shaquille O'Neal,0,3,0,0,0,0
2010,Sonny Weems,1,6,1,1,1,1
2010,Stephen Curry,1,0,1,1,1,1
2010,Steve Nash,0,1,0,0,0,0
2010,Taj Gibson,0,1,0,0,0,0
2010,Terrico White,0,0,0,0,0,0
2010,Tiago Splitter,1,0,1,1,1,1
2010,Timofey Mozgov,0,1,0,0,0,0
2010,Toney Douglas,0,1,0,0,0,0
2010,Troy Murphy,0,0,0,0,0,0
2010,Tyreke Evans,1,0,1,1,1,1
2010,Tyrus Thomas,1,0,1,1,1,1
2010,Udonis Haslem,0,0,0,0,0,0
2010,Wayne Ellington,1,2,1,1,1,1
2010,Will Bynum,0,4,0,0,0,0
2010,Yao Ming,1,0,1,1,1,1
2010,Yi Jianlian,0,0,0,0,0,0
2010,Zach Randolph,1,0,1,1,1,1
2010,Zaur Pachulia,1,0,1,1,1,1
2011,Acie Law,0,0,0,0,0,0
2011,Al Harrington,1,1,1,1,1,1
2011,Al Jefferson,0,1,0,0,0,0
2011,Al Thornton,0,1,0,0,0,0
2011,Alexis Ajinca,0,4,0,0,0,0
2011,Amare Stoudemire,0,1,0,0,0,0
2011,Amir Johnson,0,5,0,0,0,0
2011,Anderson Varejao,0,1,0,0,0,0
2011,Andray Blatche,0,2,0,0,0,0
2011,Andrea Bargnani,0,3,0,0,0,0
2011,Andrei Kirilenko,1,9,1,1,1,1
2011,Andres Nocioni,1,0,1,1,1,1
2011,Andrew Bogut,0,3,0,0,0,0
2011,Andrew Bynum,0,1,0,0,0,0
2011,Andy Rautins,0,0,0,0,0,0
2011,Antawn Jamison,0,0,0,0,0,0
2011,Anthony Carter,1,0,1,1,1,1
2011,Anthony Morrow,1,8,1,1,1,1
2011,Anthony Parker,0,6,0,0,0,0
2011,Anthony Randolph,0,1,0,0,0,0
2011,Antonio McDyess,0,1,0,0,0,0
2011,Armon Johnson,1,0,1,1,1,1
2011,Arron Afflalo,1,1,1,1,1,1
2011,Baron Davis,0,4,0,0,0,0
2011,Ben Uzoh,0,1,0,0,0,0
2011,Ben Wallace,1,0,1,1,1,1
2011,Beno Udrih,0,3,0,0,0,0
2011,Brad Miller,0,2,0,0,0,0
2011,Brandan Wright,1,0,1,1,1,1
2011,Brandon Bass,0,6,0,0,0,0
2011,Brandon Jennings,0,6,0,0,0,0
2011,Brandon Roy,0,2,0,0,0,0
2011,Brendan Haywood,0,2,0,0,0,0
2011,Brook Lopez,0,0,0,0,0,0
2011,Calvin Miles,0,2,0,0,0,0
2011,Carlos Boozer,0,3,0,0,0,0
2011,Carlos Delfino,0,2,0,0,0,0
2011,Caron Butler,0,0,0,0,0,0
2011,Cartier Martin,1,4,1,1,1,1
2011,Channing Frye,0,0,0,0,0,0
2011,Charlie Villanueva,1,0,1,1,1,1
2011,Chase Budinger,1,0,1,1,1,1
2011,Chauncey Billups,0,2,0,0,0,0
2011,Chris Bosh,0,1,0,0,0,0
2011,Chris Douglas-Roberts,0,1,0,0,0,0
2011,Chris Duhon,0,5,0,0,0,0
2011,Chris Kaman,0,2,0,0,0,0
2011,Chris Paul,0,1,0,0,0,0
2011,Chris Wilcox,1,2,1,1,1,1
2011,Christian Eyenga,0,2,0,0,0,0
2011,DaJuan Summers,0,1,0,0,0,0
2011,Damion James,0,8,0,0,0,0
2011,Dan Gadzuric,1,0,1,1,1,1
2011,Daniel Gibson,2,5,2,2,2,2
2011,Danilo Gallinari,0,2,0,0,0,0
2011,Dante Cunningham,0,1,0,0,0,0
2011,Darko Milicic,0,7,0,0,0,0
2011,Darrell Arthur,0,0,0,0,0,0
2011,David West,0,0,0,0,0,0
2011,DeSagana Diop,0,1,0,0,0,0
2011,Delonte West,0,2,0,0,0,0
2011,Deron Williams,0,4,0,0,0,0
2011,Derrick Caracter,0,0,0,0,0,0
2011,Derrick Favors,0,2,0,0,0,0
2011,Devin Harris,0,1,0,0,0,0
2011,Dewayne White,0,0,0,0,0,0
2011,Dexter Pittman,0,0,0,0,0,0
2011,Dominique Jones,0,0,0,0,0,0
2011,Drew Gooden,0,6,0,0,0,0
2011,Dwyane Wade,0,3,0,0,0,0
2011,Eduardo Najera,0,8,0,0,0,0
2011,Eric Bledsoe,1,0,1,1,1,1
2011,Eric Gordon,0,14,0,0,0,0
2011,Ersan Ilyasova,0,7,0,0,0,0
2011,Francisco Elson,1,2,1,1,1,1
2011,Francisco Garcia,0,4,0,0,0,0
2011,Gani Lawal,0,0,0,0,0,0
2011,Garrett Temple,0,1,0,0,0,0
2011,Gary Neal,0,2,0,0,0,0
2011,George Hill,0,2,0,0,0,0
2011,Gerald Henderson,0,0,0,0,0,0
2011,Gerald Wallace,0,1,0,0,0,0
2011,Gilbert Arenas,0,7,0,0,0,0
2011,Glen Davis,0,4,0,0,0,0
2011,Gordon Hayward,0,1,0,0,0,0
2011,Greg Oden,0,0,0,0,0,0
2011,Hamady Ndiaye,0,6,0,0,0,0
2011,Hassan Whiteside,0,0,0,0,0,0
2011,Iman Shumpert,0,0,0,0,0,0
2011,Jameer Nelson,0,1,0,0,0,0
2011,Jared Jeffries,1,0,1,1,1,1
2011,Jason Collins,0,1,0,0,0,0
2011,Jason Kidd,0,1,0,0,0,0
2011,Jason Maxiell,0,3,0,0,0,0
2011,Jason Richardson,0,1,0,0,0,0
2011,Jason Thompson,0,2,0,0,0,0
2011,Jason Williams,0,0,0,0,0,0
2011,Jeff Green,0,0,0,0,0,0
2011,Jermaine O'Neal,0,7,0,0,0,0
2011,Jerryd Bayless,1,4,1,1,1,1
2011,Joakim Noah,0,1,0,0,0,0
2011,Joel Przybilla,0,1,0,0,0,0
2011,Joey Dorsey,1,2,1,1,1,1
2011,Joey Graham,0,2,0,0,0,0
2011,John Salmons,0,7,0,0,0,0
2011,Jon Brockman,0,1,0,0,0,0
2011,Jonathan Redick,1,15,1,1,1,1
2011,Jordan Farmar,0,4,0,0,0,0
2011,Jordan Hill,0,1,0,0,0,0
2011,Jordan Williams,1,0,1,1,1,1
2011,Jose Barea,1,1,1,1,1,1
2011,Jose Calderon,0,4,0,0,0,0
2011,Josh Howard,0,1,0,0,0,0
2011,Josh Smith,1,0,1,1,1,1
2011,Kenyon Martin,0,2,0,0,0,0
2011,Kevin Garnett,0,1,0,0,0,0
2011,Kevin Love,1,2,1,1,1,1
2011,Keyon Dooling,0,2,0,0,0,0
2011,Kirk Hinrich,1,2,1,1,1,1
2011,Kyle Lowry,0,3,0,0,0,0
2011,Kyrylo Fesenko,0,7,0,0,0,0
2011,LaMarcus Aldridge,1,1,1,1,1,1
2011,Larry Sanders,0,3,0,0,0,0
2011,LeBron James,0,2,0,0,0,0
2011,Leandro Barbosa,1,5,1,1,1,1
2011,Linas Kleiza,0,3,0,0,0,0
2011,Luc Moute,0,2,0,0,0,0
2011,Luis Scola,0,3,0,0,0,0
2011,Luke Harangody,0,1,0,0,0,0
2011,Luther Head,1,1,1,1,1,1
2011,Malcolm Lee,0,1,0,0,0,0
2011,Marcus Camby,0,6,0,0,0,0
2011,Mario Chalmers,0,2,0,0,0,0
2011,Mario West,0,2,0,0,0,0
2011,Marquis Daniels,0,0,0,0,0,0
2011,Martell Webster,0,1,0,0,0,0
2011,Marvin Williams,0,0,0,0,0,0
2011,Matt Barnes,0,2,0,0,0,0
2011,Matt Bonner,1,1,1,1,1,1
2011,Matt Carroll,0,1,0,0,0,0
2011,Maurice Williams,0,1,0,0,0,0
2011,Mehmet Okur,1,0,1,1,1,1
2011,Melvin Ely,1,0,1,1,1,1
2011,Michael Beasley,1,2,1,1,1,1
2011,Mike Bibby,0,1,0,0,0,0
2011,Mike Conley,0,2,0,0,0,0
2011,Mike Miller,1,2,1,1,1,1
2011,Monta Ellis,0,2,0,0,0,0
2011,Mustafa Shakur,1,0,1,1,1,1
2011,Nate Robinson,0,0,0,0,0,0
2011,Nick Collison,0,1,0,0,0,0
2011,Nick Young,0,15,0,0,0,0
2011,Nikola Pekovic,1,2,1,1,1,1
2011,Omer Asik,0,0,0,0,0,0
2011,Omri Casspi,0,1,0,0,0,0
2011,Ovinton Mayo,0,1,0,0,0,0
2011,Patrick Patterson,0,1,0,0,0,0
2011,Paul Millsap,0,6,0,0,0,0
2011,Paul Pierce,0,2,0,0,0,0
2011,Quentin Richardson,0,1,0,0,0,0
2011,Quinton Ross,0,1,0,0,0,0
2011,Raja Bell,0,6,0,0,0,0
2011,Rajon Rondo,0,1,0,0,0,0
2011,Ramon Sessions,0,0,0,0,0,0
2011,Rashard Lewis,0,1,0,0,0,0
2011,Ray Allen,0,2,0,0,0,0
2011,Raymond Felton,0,1,0,0,0,0
2011,Reggie Evans,0,5,0,0,0,0
2011,Reggie Williams,1,0,1,1,1,1
2011,Richard Hamilton,0,3,0,0,0,0
2011,Rodney Stuckey,0,2,0,0,0,0
2011,Rodrigue Beaubois,0,0,0,0,0,0
2011,Ronnie Brewer,0,1,0,0,0,0
2011,Ronnie Price,0,11,0,0,0,0
2011,Ronny Turiaf,1,0,1,1,1,1
2011,Rudy Fernandez,0,1,0,0,0,0
2011,Rudy Gay,0,1,0,0,0,0
2011,Ryan Gomes,0,1,0,0,0,0
2011,Samardo Samuels,1,4,1,1,1,1
2011,Sean Marks,1,0,1,1,1,1
2011,Sebastian Telfair,1,0,1,1,1,1
2011,Semih Erden,1,5,1,1,1,1
2011,Shaquille O'Neal,1,9,1,1,1,1
