Year,Name,player_height,player_weight,gp,net_rating
1996,A.C. Green,205.74,102.0582,83.0,-8.0
1996,Aaron McKie,195.58,94.800728,83.0,5.2
1996,Aaron Williams,205.74,102.0582,33.0,-8.3
1996,Acie Earl,210.82,108.86208,47.0,-6.4
1996,Adam Keefe,205.74,109.31567199999999,62.0,6.7
1996,Adrian Caldwell,203.2,120.20188,45.0,-6.2
1996,Alan Henderson,205.74,106.59412,30.0,-9.7
1996,Aleksandar Djordjevic,187.96,89.811216,8.0,4.8
1996,Allan Houston,198.12,90.7184,81.0,2.9
1996,Allen Iverson,182.88,74.84268,76.0,-7.0
1996,Alonzo Mourning,208.28,118.38751200000002,66.0,10.5
1996,Alton Lister,213.36,111.13004,53.0,-13.3
1996,Amal McCaskill,210.82,106.59412,17.0,-15.7
1996,Andrew DeClercq,208.28,104.32616,71.0,-5.6
1996,Andrew Lang,210.82,124.7378,52.0,-1.2
1996,Anfernee Hardaway,200.66,97.52228,59.0,4.6
1996,Anthony Goldwire,187.96,82.553744,60.0,-4.1
1996,Anthony Mason,203.2,113.398,73.0,2.6
1996,Anthony Miller,205.74,115.66596,1.0,-50.0
1996,Anthony Peeler,193.04,94.347136,72.0,-10.4
1996,Antoine Carr,205.74,115.66596,82.0,2.2
1996,Antoine Walker,205.74,101.604608,82.0,-9.3
1996,Antonio Davis,205.74,104.32616,82.0,3.4
1996,Antonio Harvey,210.82,102.0582,6.0,1.4
1996,Antonio Lang,203.2,104.32616,64.0,0.7
1996,Antonio McDyess,205.74,99.79024,74.0,-7.5
1996,Armen Gilliam,205.74,117.93392,80.0,-3.7
1996,Arvydas Sabonis,220.98,132.448864,69.0,8.1
1996,Ashraf Amaya,203.2,104.32616,31.0,-8.6
1996,Avery Johnson,180.34,81.64656,76.0,-8.6
1996,B.J. Armstrong,187.96,79.3786,49.0,-6.5
1996,Ben Davis,205.74,108.86208,20.0,-0.4
1996,Ben Wallace,205.74,108.86208,34.0,-3.5
1996,Benoit Benjamin,213.36,113.398,4.0,-9.1
1996,Bill Wennington,213.36,111.13004,61.0,7.7
1996,Billy Owens,205.74,102.0582,66.0,-3.0
1996,Bimbo Coles,187.96,82.553744,51.0,-6.3
1996,Bison Dele,210.82,117.93392,9.0,0.9
1996,Blue Edwards,193.04,103.418976,61.0,-11.1
1996,Bo Outlaw,203.2,95.25431999999999,82.0,4.0
1996,Bob Sura,195.58,90.7184,82.0,1.0
1996,Bobby Hurley,182.88,74.84268,49.0,-2.6
1996,Bobby Phills,195.58,99.79024,69.0,3.3
1996,Brad Lohaus,210.82,104.32616,6.0,-38.4
1996,Brent Barry,198.12,88.45044,59.0,4.1
1996,Brent Price,185.42,83.91452,25.0,2.9
1996,Brent Scott,208.28,113.398,16.0,4.9
1996,Brett Szabo,210.82,104.32616,70.0,-11.1
1996,Brian Evans,203.2,99.79024,14.0,-12.5
1996,Brian Grant,205.74,115.212368,24.0,-7.7
1996,Brian Shaw,198.12,90.7184,77.0,-10.5
1996,Brooks Thompson,193.04,87.543256,67.0,-6.2
1996,Bruce Bowen,200.66,90.7184,1.0,300.0
1996,Bryant Reeves,213.36,124.7378,75.0,-10.6
1996,Bryant Stith,195.58,94.347136,52.0,-5.6
1996,Bryon Russell,200.66,102.0582,81.0,13.5
1996,Buck Williams,203.2,102.0582,74.0,6.9
1996,Byron Scott,193.04,92.98636,79.0,6.7
1996,Calbert Cheaney,200.66,97.52228,79.0,2.0
1996,Carl Herrera,205.74,102.0582,75.0,-9.7
1996,Carl Thomas,193.04,79.3786,19.0,-8.9
1996,Carlos Rogers,210.82,99.79024,56.0,-5.7
1996,Cedric Ceballos,200.66,102.0582,50.0,4.1
1996,Charles Barkley,198.12,114.305184,53.0,7.5
1996,Charles Jones,205.74,97.52228,12.0,2.6
1996,Charles Oakley,205.74,111.13004,80.0,3.4
1996,Charles Smith,208.28,110.676448,19.0,-4.9
1996,Charlie Ward,187.96,86.18248,79.0,4.0
1996,Cherokee Parks,210.82,108.86208,76.0,-0.6
1996,Chris Carr,198.12,99.79024,55.0,3.8
1996,Chris Childs,190.5,88.45044,65.0,5.2
1996,Chris Dudley,210.82,108.86208,81.0,-0.2
1996,Chris Gatling,208.28,104.32616,47.0,-4.1
1996,Chris Jent,200.66,99.79024,3.0,-29.8
1996,Chris Mills,200.66,97.975872,80.0,4.5
1996,Chris Morris,203.2,99.79024,73.0,-7.3
1996,Chris Mullin,200.66,97.52228,79.0,-4.9
1996,Chris Robinson,195.58,90.7184,41.0,-11.4
1996,Chris Webber,208.28,111.13004,72.0,3.4
1996,Chris Whitney,182.88,77.11064,82.0,2.0
1996,Christian Laettner,210.82,111.13004,82.0,11.0
1996,Chucky Brown,203.2,97.52228,70.0,-5.9
1996,Clar. Weatherspoon,200.66,108.86208,82.0,-8.3
1996,Clifford Robinson,208.28,102.0582,81.0,4.4
1996,Clifford Rozier,210.82,104.32616,42.0,-6.3
1996,Clyde Drexler,200.66,100.697424,62.0,7.5
1996,Corie Blount,208.28,109.76926399999999,58.0,2.0
1996,Corliss Williamson,200.66,111.13004,79.0,-4.2
1996,Cory Alexander,185.42,86.18248,80.0,-8.8
1996,Craig Ehlo,198.12,81.64656,62.0,5.7
1996,Cuonzo Martin,195.58,96.615096,3.0,-12.1
1996,Dale Davis,210.82,104.32616,80.0,-0.2
1996,Dale Ellis,200.66,97.52228,82.0,-9.1
1996,Damon Stoudamire,177.8,77.56423199999998,81.0,-3.7
1996,Dan Majerle,198.12,99.79024,36.0,4.7
1996,Dan Schayes,210.82,117.93392,45.0,-1.5
1996,Dana Barros,180.34,73.935496,24.0,-10.0
1996,Danny Ferry,208.28,106.59412,82.0,2.3
1996,Danny Manning,208.28,106.140528,77.0,3.1
1996,Darrell Armstrong,185.42,81.64656,67.0,0.3
1996,Darrick Martin,180.34,77.11064,82.0,-4.5
1996,Darrin Hancock,200.66,92.98636,24.0,-2.6
1996,Darvin Ham,200.66,99.79024,36.0,-2.0
1996,David Robinson,215.9,106.59412,6.0,9.6
1996,David Vaughn,205.74,108.86208,35.0,-7.5
1996,David Wesley,185.42,89.811216,74.0,-7.4
1996,David Wingate,195.58,83.91452,65.0,2.8
1996,David Wood,205.74,104.32616,46.0,3.9
1996,Dean Garrett,210.82,113.398,68.0,1.2
1996,Dee Brown,187.96,87.089664,21.0,-7.5
1996,Dell Curry,195.58,92.98636,68.0,1.6
1996,Dell Demps,190.5,92.98636,2.0,-53.7
1996,Dennis Rodman,198.12,99.79024,55.0,16.1
1996,Dennis Scott,203.2,106.59412,66.0,1.9
1996,Derek Fisher,185.42,90.7184,80.0,5.1
1996,Derek Harper,193.04,93.439952,75.0,-7.7
1996,Derek Strong,205.74,108.86208,82.0,-0.7
1996,Derrick Alston,210.82,102.0582,2.0,-39.9
1996,Derrick Coleman,208.28,117.93392,57.0,-5.4
1996,Derrick McKey,205.74,92.98636,50.0,-0.2
1996,Detlef Schrempf,208.28,106.59412,61.0,12.2
1996,Devin Gray,200.66,108.86208,6.0,-42.1
1996,Dexter Boney,193.04,83.91452,8.0,-19.6
1996,Dickey Simpkins,205.74,112.490816,48.0,-0.9
1996,Dikembe Mutombo,218.44,113.398,80.0,8.1
1996,Dino Radja,210.82,102.0582,25.0,-3.3
1996,Dominique Wilkins,203.2,104.32616,63.0,-10.3
1996,Don MacLean,208.28,106.59412,37.0,-5.9
1996,Don Reid,203.2,113.398,47.0,-1.5
1996,Donald Royal,203.2,98.883056,62.0,-4.6
1996,Donald Whiteside,177.8,72.57472,27.0,-12.4
1996,Donnie Boyce,195.58,88.904032,22.0,-10.3
1996,Donny Marshall,200.66,104.32616,56.0,-8.7
1996,Dontonio Wingfield,203.2,116.119552,47.0,1.3
1996,Donyell Marshall,205.74,104.32616,61.0,-8.6
1996,Doug Christie,198.12,92.98636,81.0,-2.6
1996,Doug Overton,190.5,86.18248,61.0,-1.3
1996,Doug West,198.12,99.79024,68.0,-3.1
1996,Duane Causwell,213.36,108.86208,46.0,-11.8
1996,Duane Ferrell,200.66,97.52228,62.0,2.3
1996,Dwayne Schintzius,215.9,117.93392,15.0,12.3
1996,Earl Cureton,205.74,95.25431999999999,9.0,-2.1
1996,Ed O'Bannon,203.2,100.697424,64.0,-8.7
1996,Ed Pinckney,205.74,108.86208,27.0,-11.2
1996,Eddie Johnson,200.66,97.52228,52.0,4.1
1996,Eddie Jones,198.12,86.18248,80.0,4.1
1996,Elden Campbell,213.36,113.398,77.0,3.3
1996,Eldridge Recasner,193.04,86.18248,71.0,-0.3
1996,Elliot Perry,182.88,72.57472,82.0,-1.2
1996,Elmer Bennett,182.88,77.11064,9.0,-7.4
1996,Elmore Spencer,213.36,122.46984,1.0,-147.5
1996,Emanual Davis,195.58,87.996848,13.0,6.6
1996,Ennis Whatley,190.5,80.28578399999998,3.0,-57.4
1996,Eric Leckner,210.82,120.20188,20.0,-3.9
1996,Eric Mobley,210.82,106.59412,28.0,-15.4
1996,Eric Montross,213.36,122.46984,78.0,-6.6
1996,Eric Murdock,185.42,86.18248,12.0,-1.4
1996,Eric Piatkowski,200.66,97.52228,65.0,2.4
1996,Eric Snow,190.5,90.7184,67.0,-1.2
1996,Eric Williams,203.2,99.79024,72.0,-6.8
1996,Erick Dampier,210.82,120.20188,72.0,-2.0
1996,Erick Strickland,190.5,95.25431999999999,28.0,-6.4
1996,Ervin Johnson,210.82,111.13004,82.0,-5.9
1996,Evric Gray,200.66,106.59412,5.0,17.5
1996,Felton Spencer,213.36,127.00576,73.0,-1.2
1996,Frank Brickowski,205.74,108.86208,17.0,-22.4
1996,Frankie King,185.42,83.91452,7.0,1.4
1996,Fred Hoiberg,193.04,92.079176,47.0,4.9
1996,Fred Roberts,208.28,98.883056,12.0,-13.1
1996,Gary Grant,190.5,83.91452,28.0,3.2
1996,Gary Payton,193.04,86.18248,82.0,10.3
1996,Gary Trent,203.2,113.398,82.0,2.5
1996,Gaylon Nickerson,190.5,86.18248,4.0,8.9
1996,George Lynch,203.2,103.418976,41.0,-8.2
1996,George McCloud,203.2,102.0582,64.0,-2.7
1996,George Zidek,213.36,119.748288,52.0,-14.1
1996,Gerald Wilkins,198.12,102.0582,80.0,-5.8
1996,Gheorghe Muresan,231.14,137.438376,73.0,6.9
1996,Glen Rice,203.2,99.79024,79.0,3.2
1996,Glenn Robinson,200.66,106.59412,80.0,-2.9
1996,Grant Hill,203.2,102.0582,80.0,6.9
1996,Grant Long,205.74,112.490816,65.0,4.0
1996,Greg Anderson,208.28,113.398,82.0,-14.2
1996,Greg Anthony,185.42,81.64656,65.0,-9.4
1996,Greg Dreiling,215.9,120.20188,40.0,-8.0
1996,Greg Foster,210.82,113.398,79.0,-0.9
1996,Greg Graham,193.04,82.553744,28.0,3.6
1996,Greg Minor,198.12,95.25431999999999,23.0,-2.1
1996,Greg Ostertag,218.44,127.00576,77.0,15.9
1996,Hakeem Olajuwon,213.36,115.66596,78.0,6.5
1996,Harvey Grant,205.74,102.0582,78.0,1.7
1996,Haywoode Workman,187.96,81.64656,4.0,-7.3
1996,Henry James,203.2,99.79024,53.0,1.2
1996,Herb Williams,210.82,117.93392,21.0,-10.8
1996,Hersey Hawkins,190.5,86.18248,82.0,10.3
1996,Horace Grant,208.28,111.13004,67.0,1.1
1996,Horacio Llamas,210.82,129.27372,20.0,11.5
1996,Hot Rod Williams,210.82,111.13004,68.0,4.3
1996,Howard Eisley,187.96,80.28578399999998,82.0,2.5
1996,Hubert Davis,195.58,83.007336,36.0,-3.3
1996,Ike Austin,208.28,122.46984,82.0,2.9
1996,Isaiah Rider,195.58,97.52228,76.0,3.4
1996,Ivano Newbill,208.28,111.13004,72.0,2.5
1996,Jack Haley,208.28,109.76926399999999,20.0,5.0
1996,Jalen Rose,203.2,95.25431999999999,66.0,1.3
1996,Jamal Mashburn,203.2,113.398,69.0,1.4
1996,James Robinson,187.96,81.64656,69.0,-2.7
1996,James Scott,198.12,81.64656,8.0,-14.7
1996,Jamie Feick,203.2,115.66596,41.0,-12.2
1996,Jamie Watson,200.66,86.18248,23.0,-7.8
1996,Jaren Jackson,198.12,95.25431999999999,75.0,1.7
1996,Jason Caffey,203.2,116.119552,75.0,9.0
1996,Jason Kidd,193.04,94.347136,55.0,2.4
1996,Jason Sasser,200.66,102.0582,8.0,-24.2
1996,Jayson Williams,205.74,108.86208,41.0,-8.8
1996,Jeff Grayer,195.58,95.25431999999999,25.0,0.7
1996,Jeff Hornacek,193.04,86.18248,82.0,14.4
1996,Jeff McInnis,193.04,86.18248,13.0,-17.8
1996,Jermaine O'Neal,210.82,102.511792,45.0,1.3
1996,Jerome Allen,193.04,83.46092800000002,76.0,-3.7
1996,Jerome Kersey,200.66,108.86208,70.0,4.1
1996,Jerome Williams,205.74,93.439952,33.0,3.0
1996,Jerry Stackhouse,198.12,98.883056,81.0,-6.8
1996,Jim Jackson,198.12,97.52228,77.0,-8.4
1996,Jim McIlvaine,215.9,117.93392,82.0,9.7
1996,Jimmy Carruth,208.28,120.20188,4.0,-17.7
1996,Jimmy King,195.58,95.25431999999999,2.0,-42.5
1996,Jimmy Oliver,195.58,92.98636,4.0,-40.8
1996,Joe Courtney,203.2,106.59412,9.0,-6.1
1996,Joe Dumars,190.5,88.45044,79.0,6.1
1996,Joe Kleine,213.36,122.923432,59.0,-7.6
1996,Joe Smith,208.28,102.0582,80.0,-3.3
1996,Joe Stephens,200.66,95.25431999999999,2.0,-17.4
1996,Joe Wolf,210.82,117.93392,56.0,-3.5
1996,John Crotty,187.96,83.91452,48.0,-2.1
1996,John Long,195.58,90.7184,32.0,-9.8
1996,John Starks,195.58,83.91452,77.0,6.5
1996,John Stockton,185.42,79.3786,82.0,11.4
1996,John Wallace,205.74,102.0582,68.0,2.7
1996,Johnny Newman,200.66,90.7184,82.0,0.2
1996,Jon Barry,195.58,92.98636,58.0,5.0
1996,Jud Buechler,198.12,103.418976,76.0,5.4
1996,Juwan Howard,205.74,113.398,82.0,1.3
1996,Karl Malone,205.74,116.119552,82.0,12.8
1996,Keith Askins,203.2,101.604608,78.0,6.1
1996,Keith Tower,210.82,113.398,5.0,5.6
1996,Ken Norman,203.2,97.52228,17.0,-9.1
1996,Kendall Gill,195.58,97.975872,82.0,-3.6
1996,Kenny Anderson,185.42,76.203456,82.0,4.8
1996,Kenny Smith,190.5,77.11064,48.0,-14.2
1996,Kerry Kittles,195.58,81.19296800000002,82.0,-5.2
1996,Kevin Duckworth,213.36,136.0776,26.0,-19.5
1996,Kevin Edwards,190.5,95.25431999999999,32.0,-10.1
1996,Kevin Gamble,195.58,95.25431999999999,62.0,-5.6
1996,Kevin Garnett,210.82,99.79024,77.0,2.8
1996,Kevin Johnson,185.42,86.18248,70.0,2.9
1996,Kevin Salvadori,213.36,104.779752,23.0,3.5
1996,Kevin Willis,213.36,111.13004,75.0,0.9
1996,Khalid Reeves,190.5,91.171992,63.0,-9.7
1996,Kobe Bryant,200.66,90.7184,71.0,2.2
1996,Kurt Thomas,205.74,106.59412,18.0,-0.8
1996,LaPhonso Ellis,203.2,108.86208,55.0,-5.9
1996,LaSalle Thompson,208.28,111.13004,26.0,-12.8
1996,Lamond Murray,200.66,107.047712,74.0,-1.4
1996,Larry Johnson,200.66,119.294696,76.0,4.7
1996,Larry Krystkowiak,205.74,99.79024,3.0,13.9
1996,Larry Stewart,203.2,104.32616,70.0,5.8
1996,Latrell Sprewell,195.58,86.18248,80.0,-3.3
1996,Lawrence Moten,195.58,86.18248,67.0,-10.6
1996,Lee Mayberry,185.42,81.64656,80.0,-11.0
1996,Lindsey Hunter,187.96,88.45044,82.0,5.1
1996,Lionel Simmons,200.66,95.25431999999999,41.0,-10.5
1996,Litterial Green,185.42,83.91452,45.0,17.0
1996,Lloyd Daniels,200.66,92.98636,22.0,-8.9
1996,Loren Meyer,208.28,117.93392,54.0,-6.7
1996,Lorenzen Wright,210.82,108.86208,77.0,-3.7
1996,Lorenzo Williams,205.74,104.32616,19.0,-10.9
1996,Lou Roe,200.66,99.79024,17.0,-14.4
1996,Loy Vaught,205.74,108.86208,82.0,-7.7
1996,Luc Longley,218.44,132.448864,59.0,10.4
1996,Lucious Harris,195.58,92.98636,54.0,-5.5
