Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Residuals
2012,Amar'e Stoudemire,29.0,34.36840844876301,17.7,25.4,16.900045108704305,17.468363340058712
2010,Andrei Kirilenko,28.0,30.889081455805893,18.2,17.7,13.383443744358992,17.5056377114469
2010,Kobe Bryant,31.0,42.991767764298096,21.9,32.3,25.35385816707861,17.63790959721949
2015,Kobe Bryant,36.0,39.64163957821295,17.6,34.9,21.68365884871666,17.957980729496292
2016,Chandler Parsons,27.0,31.595357142857146,16.2,20.5,13.517279697701714,18.07807744515543
2015,Dwight Howard,29.0,35.45447395544279,19.2,23.3,17.307706419128973,18.146767536313817
2011,Kevin Garnett,34.0,36.605065123010135,20.6,22.3,18.224444639274367,18.38062048373577
2014,Chris Bosh,29.0,35.18192198231054,19.0,22.6,16.38964774427083,18.79227423803971
2016,Al Horford,29.0,37.91442857142857,19.4,20.6,19.106654088922504,18.80777448250607
2011,Kobe Bryant,32.0,43.49199400454828,23.9,35.1,24.44686951125343,19.045124493294853
2010,Nick Collison,29.0,22.99826689774697,13.1,12.1,3.795290270870775,19.202976626876193
2013,Dirk Nowitzki,34.0,39.14509854593067,19.8,24.2,19.730575264448568,19.414523281482104
2014,Derrick Rose,25.0,32.14587160653726,9.7,31.5,12.581875501423681,19.563996105113578
2016,Allen Crabbe,23.0,26.42857142857143,12.2,16.4,6.2182932901461365,20.21027813842529
2014,Deron Williams,29.0,33.66530615722831,17.6,21.8,13.264601966562353,20.40070419066595
2010,Michael Redd,30.0,31.7157712305026,12.1,23.7,10.763915924788874,20.95185530571373
2013,Joe Johnson,31.0,36.983526290400384,14.1,21.7,15.63943911824468,21.344087172155703
2015,Paul George,24.0,27.146762863712038,13.0,32.8,4.947363135637712,22.199399728074326
2016,Mike Conley,28.0,37.91442857142857,19.4,22.4,15.651472901584357,22.262955669844214
2010,Rashard Lewis,30.0,33.92324263431543,14.0,19.4,11.122825118428215,22.80041751588721
2014,Joe Johnson,32.0,39.504405323880775,15.5,22.3,14.925493882175827,24.578911441704946
2013,Kobe Bryant,34.0,52.46675797670733,23.0,31.9,26.676948411466512,25.789809565240816
2012,Kobe Bryant,33.0,52.46675797670733,21.9,35.7,26.577883563872994,25.88887441283433
2011,Rashard Lewis,31.0,36.41484218868445,11.933333333333332,17.666666666666668,9.491311169414999,26.923531019269447
2014,Kobe Bryant,35.0,40.04839891613696,10.7,28.7,8.19496711288321,31.853431803253738
2015,Anthony Davis,21.0,11.211813208594306,30.8,27.8,33.11820835230001,-21.906395143705698
2011,Kevin Love,22.0,7.941735579904899,24.3,22.9,28.75355837212221,-20.811822792217317
2010,Kevin Durant,21.0,10.49161698440208,26.2,32.0,31.020550387506415,-20.52893340310434
2010,Troy Murphy,29.0,0.3745407279029463,18.0,18.8,18.4024440567464,-18.027903328843447
2015,Ty Lawson,27.0,0.33575517323396503,18.5,20.6,18.201426270308932,-17.86567109707497
2014,Anthony Davis,20.0,9.555786567596584,26.5,25.2,27.074276587239122,-17.518490019642535
2011,Blake Griffin,21.0,9.873682034318794,21.9,27.3,27.22084435564152,-17.34716232132273
2010,Brook Lopez,21.0,4.182530329289428,20.1,23.6,21.171528160482797,-16.988997831193366
2015,Kevin Martin,31.0,0.31808451597558074,16.7,26.6,16.886172058649052,-16.56808754267347
2015,Pau Gasol,34.0,11.811242368984379,22.7,24.7,27.79962220820583,-15.988379839221453
2014,Andre Drummond,20.0,4.376966205968063,22.6,16.7,19.692944564118406,-15.315978358150346
2015,Joe Johnson,33.0,0.4152763022278601,14.1,20.3,15.706540124195785,-15.291263821967926
2015,Andre Drummond,21.0,5.188442083564576,21.4,22.0,20.35581556801792,-15.16737348445334
2013,Nikola Vucevic,22.0,3.0899317758941494,17.8,19.3,18.02703498788928,-14.937103211995131
2015,Damian Lillard,24.0,6.717334496154763,20.7,26.9,21.64463126729178,-14.927296771137016
2011,Derrick Rose,22.0,12.048976638412235,23.5,32.2,26.859044017097744,-14.810067378685508
2013,Chandler Parsons,24.0,1.5962028805733581,15.3,18.3,16.20255183150759,-14.606348950934231
2014,Damian Lillard,23.0,5.693553059868096,18.6,25.0,20.17794590347453,-14.484392843606436
2016,Giannis Antetokounmpo,21.0,4.279172857142857,18.8,22.3,18.690649146394986,-14.411476289252123
2014,Josh Smith,28.0,3.539596789311338,14.1,24.5,17.936657195196627,-14.397060405885286
2011,Stephen Jackson,32.0,1.8257701054372544,14.6,27.4,16.175141360808002,-14.349371255370743
2011,Brook Lopez,22.0,5.301121562952243,19.3,27.3,19.547427694137333,-14.24630613118509
2014,Kemba Walker,23.0,5.5762555599107015,16.8,25.8,19.460088898494718,-13.883833338584015
2015,Tony Wroten,21.0,0.26544993260921274,14.9,30.5,14.063279198949466,-13.797829266340255
2015,Rudy Gobert,22.0,1.8645524458891616,21.6,14.0,15.577368585154405,-13.712816139265245
