Year,Name,Age,Salary%,PER,USG%,Predicted Salary%,Resid %
2015,Joe Johnson,33.0,0.4152763022278601,14.1,20.3,15.706540124195785,-108.448679588425
2010,Rasual Butler,30.0,0.3658301559792028,10.7,17.0,11.364953018665767,-102.79554077277162
2014,Josh Smith,28.0,3.539596789311338,14.1,24.5,17.936657195196624,-102.10681138925735
2010,Troy Murphy,29.0,0.3745407279029463,18.0,18.8,18.402444056746397,-100.15501849357473
2015,Kevin Martin,31.0,0.31808451597558074,16.7,26.6,16.886172058649052,-99.21010504594892
2011,Stephen Jackson,32.0,1.8257701054372544,14.6,27.4,16.175141360808,-98.28336476281332
2015,Ty Lawson,27.0,0.33575517323396503,18.5,20.6,18.201426270308936,-96.57119511932416
2013,Chandler Parsons,24.0,1.596202880573358,15.3,18.3,16.20255183150759,-95.46633301264205
2016,Jarrett Jack,32.0,0.08238857142857142,14.5,21.7,13.698980076256223,-93.90752761950104
2015,Tony Wroten,21.0,0.26544993260921274,14.9,30.5,14.063279198949468,-92.60288098214936
2010,Peja Stojakovic,32.0,0.6968197573656846,12.4,18.6,11.599928908906625,-87.92829960920113
2011,Kevin Love,22.0,7.941735579904899,24.3,22.9,28.753558372122214,-85.64536128484491
2016,Deron Williams,31.0,0.37075142857142857,14.6,22.0,12.872155143381526,-85.62605284116505
2010,Brook Lopez,21.0,4.182530329289428,20.1,23.6,21.171528160482794,-84.52237726961873
2011,Boris Diaw,28.0,0.41547446764523466,13.9,16.8,12.133628730416651,-84.3032680774922
2013,Nikola Vucevic,22.0,3.0899317758941494,17.8,19.3,18.02703498788928,-83.91631017974792
2010,Aaron Brooks,25.0,3.495133448873484,16.0,25.7,16.832607957960093,-83.3592156817913
2016,Emmanuel Mudiay,19.0,4.631142857142859,9.9,25.7,12.845678150705142,-82.9751039753766
2014,Kemba Walker,23.0,5.5762555599107015,16.8,25.8,19.460088898494718,-82.64186511061914
2015,Andrea Bargnani,29.0,2.161098866249108,16.6,26.4,15.520240529809689,-80.47675700940108
2013,Byron Mullens,23.0,1.6330835228447385,12.3,21.7,11.386394952155191,-79.2952148724427
2011,Blake Griffin,21.0,9.873682034318794,21.9,27.3,27.220844355641525,-79.21078685535494
2016,Norris Cole,27.0,0.3542728571428571,10.8,21.7,8.882009060399643,-78.96052040052578
2010,Kevin Durant,21.0,10.49161698440208,26.2,32.0,31.020550387506418,-78.35470764543642
2014,Damian Lillard,23.0,5.693553059868096,18.6,25.0,20.17794590347453,-77.87307980433566
