Year,Name,Salary
2010,Kobe Bryant,24806250
2010,Zach Randolph,17666666
2010,Vince Carter,17522375
2010,Dirk Nowitzki,17278618
2010,Carmelo Anthony,17149243
2010,Dwight Howard,16647180
2010,Kenyon Martin,16545454
2010,Amar'e Stoudemire,16486611
2010,Joe Johnson,16324500
2010,Elton Brand,15959099
2010,Chris Paul,14940153
2010,Rashard Lewis,19573711
2010,Deron Williams,14940153
2010,Chris Bosh,14500000
2010,LeBron James,14500000
2010,Jason Richardson,14444443
2010,Carlos Boozer,14400000
2010,Dwyane Wade,14200000
2010,Baron Davis,14000000
2010,Paul Pierce,13876321
2010,Andrew Bynum,13700000
2010,Rudy Gay,13603750
2010,Tim Duncan,18835381
2010,Brandon Roy,13603750
2010,Tony Parker,13500000
2010,Samuel Dalembert,13428129
2010,Antawn Jamison,13358905
2010,Nick Collison,13270000
2010,Chauncey Billups,13150000
2010,Al Jefferson,13000000
2010,Tyson Chandler,12600000
2010,Richard Hamilton,12500000
2010,Andre Iguodala,12345250
2010,Kevin Garnett,18832044
2010,Manu Ginobili,11854584
2010,Michael Redd,18300000
2010,Pau Gasol,17823000
2010,Andrei Kirilenko,17823000
2010,Gilbert Arenas,17730694
2010,Yao Ming,17686100
2010,Chris Kaman,11800000
2010,Marcus Camby,11749832
2010,Josh Smith,11700000
2010,Eddy Curry,11530592
2010,Emeka Okafor,11495000
2010,Nene Hilario,11360000
2010,Luol Deng,11345000
2010,LaMarcus Aldridge,11244000
2010,Tayshaun Prince,11148760
2010,Andrew Bogut,11000000
2010,Monta Ellis,11000000
2010,Danny Granger,10973202
2010,David Lee,10800000
2010,Jamal Crawford,10800000
2010,Ben Gordon,10800000
2010,Kevin Martin,10600005
2010,Mike Dunleavy,10561984
2010,Caron Butler,10561960
2010,Gerald Wallace,10500000
2010,Steve Nash,10310938
2010,Hedo Turkoglu,10215850
2010,Ray Allen,10000000
2010,Mehmet Okur,9945000
2010,Jason Terry,9873000
2010,Corey Maggette,9600000
2010,Cuttino Mobley,9500000
