team,salary,player,position,season
Minnesota Timberwolves,25200000,Kevin Garnett, PF,2002-2003
Portland Trail Blazers,13500000,Damon Stoudamire, PG,2002-2003
Seattle SuperSonics,13080000,Gary Payton, PG,2002-2003
Seattle SuperSonics,12375000,Ray Allen, SG,2002-2003
New York Knicks,12375000,Latrell Sprewell, SG,2002-2003
Boston Celtics,12375000,Antoine Walker, PF,2002-2003
Phoenix Suns,12375000,Stephon Marbury, PG,2002-2003
San Antonio Spurs,12072000,Tim Duncan, C,2002-2003
Orlando Magic,12072000,Tracy McGrady, SG,2002-2003
Orlando Magic,12072000,Grant Hill, SF,2002-2003
Indiana Pacers,12046000,Reggie Miller, SG,2002-2003
Los Angeles Lakers,23571000,Shaquille O'Neal, C,2002-2003
Toronto Raptors,1.20E+07,Antonio Davis, PF,2002-2003
Dallas Mavericks,11953000,Michael Finley, SG,2002-2003
Sacramento Kings,11248000,Vlade Divac, C,2002-2003
Miami Heat,11200000,Eddie Jones, SG,2002-2003
Miami Heat,11121000,Brian Grant, PF,2002-2003
New York Knicks,1.10E+07,Allan Houston, SG,2002-2003
Phoenix Suns,10890000,Tom Gugliotta, PF,2002-2003
Milwaukee Bucks,10750000,Tim Thomas, PF,2002-2003
Toronto Raptors,10625000,Vince Carter, SF,2002-2003
San Antonio Spurs,10500000,David Robinson, C,2002-2003
Orlando Magic,21500000,Shawn Kemp, C,2002-2003
Dallas Mavericks,10003000,Nick Van Exel, PG,2002-2003
San Antonio Spurs,9900000,Steve Smith, SG,2002-2003
Atlanta Hawks,9860000,Glenn Robinson, SF,2002-2003
Philadelphia 76ers,9830000,Derrick Coleman, PF,2002-2003
Atlanta Hawks,9375000,Theo Ratliff, C,2002-2003
New Jersey Nets,9260000,Jason Kidd, PG,2002-2003
Houston Rockets,9200000,Glen Rice, SF,2002-2003
Seattle SuperSonics,9185000,Kenny Anderson, PG,2002-2003
Utah Jazz,9.00E+06,John Stockton, G,2002-2003
New Jersey Nets,8717000,Kerry Kittles, SG,2002-2003
Denver Nuggets,20625000,Juwan Howard, PF,2002-2003
Detroit Pistons,8421000,Clifford Robinson, PF,2002-2003
Portland Trail Blazers,19727000,Scottie Pippen, SF,2002-2003
Utah Jazz,19250000,Karl Malone, PF,2002-2003
Portland Trail Blazers,16200000,Rasheed Wallace, PF,2002-2003
New Jersey Nets,16105000,Dikembe Mutombo, C,2002-2003
Sacramento Kings,14343000,Chris Webber, C,2002-2003
Milwaukee Bucks,8050000,Toni Kukoc, SF,2002-2003
Portland Trail Blazers,8.00E+06,Dale Davis, PF,2002-2003
Seattle SuperSonics,7975000,Elden Campbell, C,2002-2003
Utah Jazz,7799000,Greg Ostertag, C,2002-2003
New Orleans Hornets,7750000,Jamal Mashburn, SF,2002-2003
Houston Rockets,7150000,Maurice Taylor, PF,2002-2003
Portland Trail Blazers,7145000,Derek Anderson, SG,2002-2003
Chicago Bulls,7140000,Donyell Marshall, PF,2002-2003
Atlanta Hawks,7091000,Alan Henderson, PF,2002-2003
New Orleans Hornets,7044000,P.J. Brown, PF,2002-2003
Memphis Grizzlies,7.00E+06,Wesley Person, SF,2002-2003
Indiana Pacers,6960000,Austin Croshere, PF,2002-2003
Indiana Pacers,6950000,Jermaine O'Neal, C,2002-2003
Golden State Warriors,6858000,Erick Dampier, C,2002-2003
Denver Nuggets,6750000,Marcus Camby, C,2002-2003
Houston Rockets,6696000,Kelvin Cato, C,2002-2003
Indiana Pacers,6618000,Ron Mercer, SG,2002-2003
Philadelphia 76ers,6600000,Tyrone Hill, PF,2002-2003
Phoenix Suns,6555000,Bo Outlaw, PF,2002-2003
New York Knicks,6100000,Shandon Anderson, SF,2002-2003
LA Clippers,6061000,Michael Olowokandi, C,2002-2003
Memphis Grizzlies,6050000,Lorenzen Wright, PF,2002-2003
Washington Wizards,6.00E+06,Jerry Stackhouse, SF,2002-2003
Golden State Warriors,6.00E+06,Chris Mills, SF,2002-2003
Dallas Mavericks,5750000,Steve Nash, PG,2002-2003
New York Knicks,5750000,Charlie Ward, PG,2002-2003
Chicago Bulls,5726000,Eddie Robinson, SF,2002-2003
Sacramento Kings,5625000,Doug Christie, SG,2002-2003
Sacramento Kings,5625000,Peja Stojakovic, SF,2002-2003
Golden State Warriors,5540000,Bob Sura, PG,2002-2003
Sacramento Kings,5448000,Mike Bibby, PG,2002-2003
Toronto Raptors,5350000,Alvin Williams, PG,2002-2003
New York Knicks,5312000,Howard Eisley, PG,2002-2003
Los Angeles Lakers,5300000,Robert Horry, PF,2002-2003
Toronto Raptors,5250000,Jerome Williams, PF,2002-2003
Milwaukee Bucks,5250000,Jason Caffey, F,2002-2003
Seattle SuperSonics,5238000,Vitaly Potapenko, C,2002-2003
Atlanta Hawks,5130000,Nazr Mohammed, C,2002-2003
Memphis Grizzlies,5062000,Brevin Knight, PG,2002-2003
Seattle SuperSonics,5040000,Brent Barry, SG,2002-2003
Dallas Mavericks,4675000,Shawn Bradley, C,2002-2003
Orlando Magic,4506000,Darrell Armstrong, PG,2002-2003
Detroit Pistons,4500000,Corliss Williamson, PF,2002-2003
Philadelphia 76ers,4500000,Aaron McKie, SG,2002-2003
Milwaukee Bucks,4500000,Sam Cassell, PG,2002-2003
Golden State Warriors,4469000,Antawn Jamison, PF,2002-2003
Golden State Warriors,4400000,Adonal Foyle, C,2002-2003
Houston Rockets,4383000,Steve Francis, PG,2002-2003
Utah Jazz,4220000,Mark Jackson, PG,2002-2003
Los Angeles Lakers,4170000,Rick Fox, SF,2002-2003
Cleveland Cavaliers,4160000,Michael Stewart, PF,2002-2003
Philadelphia 76ers,4125000,Eric Snow, PG,2002-2003
New Jersey Nets,4067000,Kenyon Martin, PF,2002-2003
Milwaukee Bucks,4030000,Ervin Johnson, C,2002-2003
Boston Celtics,4.00E+06,Tony Battie, C,2002-2003
New York Knicks,4.00E+06,Travis Knight, C,2002-2003
Washington Wizards,3974000,Kwame Brown, C,2002-2003
New Orleans Hornets,3942000,Baron Davis, PG,2002-2003
Detroit Pistons,3850000,Zeljko Rebraca, C,2002-2003
Indiana Pacers,3780000,Tim Hardaway, G,2002-2003
Los Angeles Lakers,3740000,Tracy Murray, SF,2002-2003
Boston Celtics,5004000,Eric Williams, PF,2002-2003
Detroit Pistons,5.00E+06,Ben Wallace, PF,2002-2003
Seattle SuperSonics,4992000,Calvin Booth, C,2002-2003
Milwaukee Bucks,4992000,Anthony Mason, F,2002-2003
Portland Trail Blazers,4992000,Ruben Patterson, PF,2002-2003
Minnesota Timberwolves,4991000,Joe Smith, PF,2002-2003
Philadelphia 76ers,4991000,Todd MacCulloch, C,2002-2003
New York Knicks,4991000,Clarence Weatherspoon, PF,2002-2003
Dallas Mavericks,4991000,Avery Johnson, PG,2002-2003
Washington Wizards,4973000,Christian Laettner, PF,2002-2003
Golden State Warriors,4935000,Danny Fortson, C,2002-2003
Dallas Mavericks,4926000,Raef LaFrentz, C,2002-2003
New York Knicks,4904000,Kurt Thomas, PF,2002-2003
