season,player,salary
2002-2003,Kevin Garnett,25200000
2002-2003,Damon Stoudamire,13500000
2002-2003,Gary Payton,13080000
2002-2003,Ray Allen,12375000
2002-2003,Latrell Sprewell,12375000
2002-2003,Antoine Walker,12375000
2002-2003,Stephon Marbury,12375000
2002-2003,Tim Duncan,12072000
2002-2003,Tracy McGrady,12072000
2002-2003,Grant Hill,12072000
2002-2003,Reggie Miller,12046000
2002-2003,Shaquille O'Neal,23571000
2002-2003,Antonio Davis,12000000
2002-2003,Michael Finley,11953000
2002-2003,Vlade Divac,11248000
2002-2003,Eddie Jones,11200000
2002-2003,Brian Grant,11121000
2002-2003,Allan Houston,11000000
2002-2003,Tom Gugliotta,10890000
2002-2003,Tim Thomas,10750000
2002-2003,Vince Carter,10625000
2002-2003,David Robinson,10500000
2002-2003,Shawn Kemp,21500000
2002-2003,Nick Van Exel,10003000
2002-2003,Steve Smith,9900000
2002-2003,Glenn Robinson,9860000
2002-2003,Derrick Coleman,9830000
2002-2003,Theo Ratliff,9375000
2002-2003,Jason Kidd,9260000
2002-2003,Glen Rice,9200000
2002-2003,Kenny Anderson,9185000
2002-2003,John Stockton,9000000
2002-2003,Kerry Kittles,8717000
2002-2003,Juwan Howard,20625000
2002-2003,Clifford Robinson,8421000
2002-2003,Scottie Pippen,19727000
2002-2003,Karl Malone,19250000
2002-2003,Rasheed Wallace,16200000
2002-2003,Dikembe Mutombo,16105000
2002-2003,Chris Webber,14343000
2002-2003,Toni Kukoc,8050000
2002-2003,Dale Davis,8000000
2002-2003,Elden Campbell,7975000
2002-2003,Greg Ostertag,7799000
2002-2003,Jamal Mashburn,7750000
2002-2003,Maurice Taylor,7150000
2002-2003,Derek Anderson,7145000
2002-2003,Donyell Marshall,7140000
2002-2003,Alan Henderson,7091000
2002-2003,P.J. Brown,7044000
2002-2003,Wesley Person,7000000
2002-2003,Austin Croshere,6960000
2002-2003,Jermaine O'Neal,6950000
2002-2003,Erick Dampier,6858000
2002-2003,Marcus Camby,6750000
2002-2003,Kelvin Cato,6696000
2002-2003,Ron Mercer,6618000
2002-2003,Tyrone Hill,6600000
2002-2003,Bo Outlaw,6555000
2002-2003,Shandon Anderson,6100000
2002-2003,Michael Olowokandi,6061000
2002-2003,Lorenzen Wright,6050000
2002-2003,Jerry Stackhouse,6000000
2002-2003,Chris Mills,6000000
2002-2003,Steve Nash,5750000
2002-2003,Charlie Ward,5750000
2002-2003,Eddie Robinson,5726000
2002-2003,Doug Christie,5625000
2002-2003,Peja Stojakovic,5625000
2002-2003,Bob Sura,5540000
2002-2003,Mike Bibby,5448000
2002-2003,Alvin Williams,5350000
2002-2003,Howard Eisley,5312000
2002-2003,Robert Horry,5300000
2002-2003,Jerome Williams,5250000
2002-2003,Jason Caffey,5250000
2002-2003,Vitaly Potapenko,5238000
2002-2003,Nazr Mohammed,5130000
2002-2003,Brevin Knight,5062000
2002-2003,Brent Barry,5040000
2002-2003,Shawn Bradley,4675000
2002-2003,Darrell Armstrong,4506000
2002-2003,Corliss Williamson,4500000
2002-2003,Aaron McKie,4500000
2002-2003,Sam Cassell,4500000
2002-2003,Antawn Jamison,4469000
2002-2003,Adonal Foyle,4400000
2002-2003,Steve Francis,4383000
2002-2003,Mark Jackson,4220000
2002-2003,Rick Fox,4170000
2002-2003,Michael Stewart,4160000
2002-2003,Eric Snow,4125000
2002-2003,Kenyon Martin,4067000
2002-2003,Ervin Johnson,4030000
2002-2003,Tony Battie,4000000
2002-2003,Travis Knight,4000000
2002-2003,Kwame Brown,3974000
2002-2003,Baron Davis,3942000
2002-2003,Zeljko Rebraca,3850000
2002-2003,Tim Hardaway,3780000
2002-2003,Tracy Murray,3740000
2002-2003,Eric Williams,5004000
2002-2003,Ben Wallace,5000000
2002-2003,Calvin Booth,4992000
2002-2003,Anthony Mason,4992000
2002-2003,Ruben Patterson,4992000
2002-2003,Joe Smith,4991000
2002-2003,Todd MacCulloch,4991000
2002-2003,Clarence Weatherspoon,4991000
2002-2003,Avery Johnson,4991000
2002-2003,Christian Laettner,4973000
2002-2003,Danny Fortson,4935000
2002-2003,Raef LaFrentz,4926000
2002-2003,Kurt Thomas,4904000
2002-2003,Cuttino Mobley,4903000
2002-2003,Jahidi White,4903000
2002-2003,Rashard Lewis,4903000
2002-2003,Elton Brand,4895000
2002-2003,Scot Pollard,4827000
2002-2003,Brad Miller,4800000
2002-2003,Robert Traylor,3726000
2002-2003,Stromile Swift,3656000
2002-2003,Anthony Carter,3656000
2002-2003,David Wesley,3600000
2002-2003,Chucky Atkins,3600000
