Age,FG%,FT%,PTS,AST,STL,BLK,TOV
25.0,0.49700000000000005,0.745,973.0,112.0,36.0,22.0,130.0
21.0,0.5103333333333334,0.7946666666666666,1131.3333333333333,168.66666666666666,78.66666666666667,16.0,152.0
25.0,0.444,0.672,183.0,26.0,13.0,4.0,23.0
23.0,0.484,0.588,40.0,7.0,0.0,5.0,16.0
25.0,0.443,0.8193333333333332,404.0,97.33333333333333,43.333333333333336,13.333333333333334,107.33333333333333
24.0,0.542,0.727,790.0,129.0,41.0,55.0,137.0
26.0,0.478,0.731,666.0,194.0,69.0,4.0,146.0
24.0,0.428,0.7290000000000001,303.0,54.0,16.0,6.0,55.0
23.0,0.485,0.73,1082.0,225.0,86.0,63.0,234.0
22.0,0.488,0.691,492.0,88.0,52.0,40.0,85.0
22.0,0.423,0.722,775.0,105.0,40.0,7.0,118.0
24.0,0.415,0.848,797.0,427.0,151.0,15.0,240.0
28.0,0.5589999999999999,0.7040000000000001,1879.0,263.0,42.0,181.0,366.0
29.0,0.43799999999999994,0.813,1011.0,225.0,68.0,19.0,146.0
23.0,0.466,0.47600000000000003,271.0,129.0,23.0,34.0,84.0
22.0,0.42200000000000004,0.7,232.0,20.0,10.0,22.0,40.0
21.0,0.479,0.677,1909.0,193.0,122.0,36.0,311.0
25.0,0.451,0.76,816.0,72.0,74.0,11.0,172.0
25.0,0.522,0.72,1097.0,291.0,60.0,146.0,206.0
20.0,0.43,0.8,376.0,38.0,24.0,47.0,56.0
25.0,0.494,0.809,1215.0,161.0,82.0,13.0,167.0
29.0,0.529,0.752,1266.0,213.0,42.0,194.0,167.0
31.0,0.439,0.8,846.0,91.0,38.0,21.0,81.0
25.0,0.40399999999999997,0.7253333333333334,330.6666666666667,130.66666666666666,26.0,6.0,95.33333333333333
23.0,0.41600000000000004,0.6920000000000001,338.0,73.0,49.0,47.0,99.0
24.0,0.43933333333333335,0.762,424.0,78.0,43.333333333333336,15.333333333333334,78.66666666666667
30.0,0.47100000000000003,0.7879999999999999,1450.0,287.0,101.0,44.0,241.0
24.0,0.529,0.8,914.0,254.0,100.0,52.0,179.0
29.0,0.537,0.772,1542.0,216.0,82.0,93.0,225.0
26.0,0.52,0.727,2097.0,298.0,105.0,126.0,346.0
27.0,0.516,0.725,364.0,46.0,27.0,18.0,47.0
23.0,0.408,0.748,921.0,439.0,126.0,21.0,294.0
26.0,0.578,0.7509999999999999,1088.0,252.0,137.0,126.0,194.0
27.0,0.389,0.667,30.0,8.0,2.0,1.0,6.0
22.0,0.41700000000000004,0.759,82.0,83.0,15.0,2.0,35.0
26.0,0.452,0.765,452.0,132.0,71.0,9.0,77.0
25.0,0.46299999999999997,0.84,1594.0,393.0,124.0,27.0,236.0
24.0,0.41700000000000004,0.634,571.0,81.0,41.0,33.0,103.0
30.0,0.502,0.8059999999999999,745.0,339.0,117.0,3.0,154.0
25.0,0.426,0.818,195.0,50.0,10.0,3.0,24.0
27.0,0.47100000000000003,0.627,434.0,92.0,26.0,127.0,128.0
29.0,0.491,0.9179999999999999,1949.0,259.0,112.0,3.0,173.0
26.0,0.44799999999999995,0.7509999999999999,1398.0,278.0,88.0,12.0,206.0
33.0,0.43799999999999994,0.86,315.0,61.0,19.0,4.0,35.0
22.0,0.5379999999999999,0.752,528.0,68.0,53.0,48.0,122.0
27.0,0.51,0.708,392.0,409.0,68.0,2.0,163.0
28.0,0.40833333333333327,0.7756666666666666,348.6666666666667,86.66666666666667,41.333333333333336,3.3333333333333335,48.666666666666664
29.0,0.425,0.797,874.0,294.0,108.0,5.0,150.0
29.0,0.43766666666666665,0.7443333333333334,709.3333333333334,252.0,73.33333333333333,11.333333333333334,158.66666666666666
29.0,0.48100000000000004,0.7340000000000001,861.0,381.0,166.0,17.0,232.0
31.0,0.47700000000000004,0.826,530.0,317.0,48.0,4.0,156.0
28.0,0.368,0.818,59.0,7.0,6.0,0.0,8.0
23.0,0.435,0.7,88.0,87.0,19.0,15.0,30.0
29.0,0.5710000000000001,0.609,692.0,147.0,74.0,90.0,150.0
29.0,0.46,0.7809999999999999,589.0,217.0,81.0,55.0,144.0
27.0,0.479,0.868,416.0,87.0,42.0,15.0,64.0
29.0,0.45299999999999996,0.785,271.0,48.0,34.0,22.0,63.0
28.0,0.451,0.742,312.0,45.0,14.0,8.0,76.0
32.0,0.42100000000000004,0.5,25.0,18.0,3.0,2.0,15.0
29.0,0.512,0.782,1746.0,304.0,100.0,41.0,259.0
